Year	Location	Longitude	Latitude	CitationCount
2014	"Boston,MA"	-71.05674	42.35866	13
2014	"Boston,MA"	-71.05674	42.35866	12
2011	"Boston,MA"	-71.05674	42.35866	0
2011	"Boston,MA"	-71.05674	42.35866	4
2011	"Boston,MA"	-71.05674	42.35866	22
2014	"Boston,MA"	-71.05674	42.35866	10
2011	"Boston,MA"	-71.05674	42.35866	30
2014	"Boston,MA"	-71.05674	42.35866	0
2011	"Boston,MA"	-71.05674	42.35866	3
2011	"Boston,MA"	-71.05674	42.35866	3
2011	"Boston,MA"	-71.05674	42.35866	3
2011	"Boston,MA"	-71.05674	42.35866	34
2014	"Boston,MA"	-71.05674	42.35866	4
2014	"Boston,MA"	-71.05674	42.35866	1
2011	"Boston,MA"	-71.05674	42.35866	6
2009	"Boston,MA"	-71.05674	42.35866	9
2011	"Boston,MA"	-71.05674	42.35866	0
2009	"Boston,MA"	-71.05674	42.35866	2
2014	"Boston,MA"	-71.05674	42.35866	19
2011	"Boston,MA"	-71.05674	42.35866	5
2011	"Boston,MA"	-71.05674	42.35866	0
2014	"Boston,MA"	-71.05674	42.35866	1
2014	"Boston,MA"	-71.05674	42.35866	2
2014	"Boston,MA"	-71.05674	42.35866	0
2014	"Boston,MA"	-71.05674	42.35866	0
2009	"Boston,MA"	-71.05674	42.35866	0
2011	"Boston,MA"	-71.05674	42.35866	3
2011	"Boston,MA"	-71.05674	42.35866	12
2014	"Boston,MA"	-71.05674	42.35866	2
2014	"Boston,MA"	-71.05674	42.35866	0
2011	"Boston,MA"	-71.05674	42.35866	77
2014	"Boston,MA"	-71.05674	42.35866	5
2014	"Boston,MA"	-71.05674	42.35866	0
2014	"Boston,MA"	-71.05674	42.35866	3
2011	"Boston,MA"	-71.05674	42.35866	5
2011	"Boston,MA"	-71.05674	42.35866	4
2014	"Boston,MA"	-71.05674	42.35866	0
2011	"Boston,MA"	-71.05674	42.35866	23
2014	"Boston,MA"	-71.05674	42.35866	0
2011	"Boston,MA"	-71.05674	42.35866	2
2011	"Boston,MA"	-71.05674	42.35866	17
2014	"Boston,MA"	-71.05674	42.35866	0
2009	"Boston,MA"	-71.05674	42.35866	24
2014	"Boston,MA"	-71.05674	42.35866	17
2011	"Boston,MA"	-71.05674	42.35866	1
2011	"Boston,MA"	-71.05674	42.35866	11
2011	"Boston,MA"	-71.05674	42.35866	9
2011	"Boston,MA"	-71.05674	42.35866	6
2014	"Boston,MA"	-71.05674	42.35866	17
2009	"Boston,MA"	-71.05674	42.35866	15
2011	"Boston,MA"	-71.05674	42.35866	1
2011	"Boston,MA"	-71.05674	42.35866	3
2014	"Chicago, IL"	-87.63245	41.88425	7
2011	"Chicago, IL"	-87.63245	41.88425	14
2011	"Chicago, IL"	-87.63245	41.88425	3
2014	"Chicago, IL"	-87.63245	41.88425	2
2011	"Chicago, IL"	-87.63245	41.88425	3
2011	"Chicago, IL"	-87.63245	41.88425	12
2011	"Chicago, IL"	-87.63245	41.88425	3
2011	"Chicago, IL"	-87.63245	41.88425	6
2014	"Chicago, IL"	-87.63245	41.88425	3
2014	"Chicago, IL"	-87.63245	41.88425	11
2011	"Chicago, IL"	-87.63245	41.88425	2
2014	"Chicago, IL"	-87.63245	41.88425	1
2014	"Chicago, IL"	-87.63245	41.88425	3
2011	"Chicago, IL"	-87.63245	41.88425	6
2014	"Chicago, IL"	-87.63245	41.88425	8
2014	"Chicago, IL"	-87.63245	41.88425	1
2014	"Chicago, IL"	-87.63245	41.88425	3
2011	"Chicago, IL"	-87.63245	41.88425	0
2011	"Chicago, IL"	-87.63245	41.88425	2
2014	"Chicago, IL"	-87.63245	41.88425	2
2014	"Chicago, IL"	-87.63245	41.88425	5
2014	"Chicago, IL"	-87.63245	41.88425	2
2011	"Chicago, IL"	-87.63245	41.88425	13
2014	"Chicago, IL"	-87.63245	41.88425	7
2014	"Chicago, IL"	-87.63245	41.88425	26
2011	"Chicago, IL"	-87.63245	41.88425	1
2011	"Chicago, IL"	-87.63245	41.88425	2
2011	"Chicago, IL"	-87.63245	41.88425	20
2011	"Chicago, IL"	-87.63245	41.88425	36
2014	"Chicago, IL"	-87.63245	41.88425	4
2011	"Chicago, IL"	-87.63245	41.88425	16
2014	"Chicago, IL"	-87.63245	41.88425	7
2014	"Chicago, IL"	-87.63245	41.88425	2
2011	"Chicago, IL"	-87.63245	41.88425	1
2011	"Chicago, IL"	-87.63245	41.88425	1
2011	"Denver, CO"	-104.989174	39.73715	0
2015	"Denver, CO"	-74.00712	40.71455	2
2011	"Denver, CO"	-104.989174	39.73715	24
2011	"Denver, CO"	-104.989174	39.73715	2
2011	"Denver, CO"	-104.989174	39.73715	2
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	3
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2015	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2015	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	3
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	2
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	77
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2015	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	2
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	5
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	2
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	2
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	2
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	2
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	3
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	1
2011	"Denver, CO"	-104.989174	39.73715	2
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	0
2011	"Denver, CO"	-104.989174	39.73715	3
